frame_id,condition,sent,comp_q,comp_a,type
11,NonTeleEach,"After the practice, each athlete organized the locker and he placed the helmet on the shelf.",Did the events described happen after practice?,1,target
11,NonTeleThe,"After the practice, the athlete organized the locker. He placed the helmet on the shelf.",Did the events described happen after practice?,1,target
12,TeleEach,"Before the announcement, each reporter positioned the cameras. He adjusted the framing for the shot.",None,None,target
12,NonTeleEvery,"Before the announcement, every reporter positioned the cameras and he adjusted the framing for the shot.",None,None,target
12,NonTeleEach,"Before the announcement, each reporter positioned the cameras and he adjusted the framing for the shot.",None,None,target
12,NonTeleThe,"Before the announcement, the reporter positioned the cameras. He adjusted the framing for the shot.",None,None,target
13,TeleEach,"Before the trial, each lawyer reviewed the case. He arranged the papers on the desk.",Did the events described happen before the trial?,1,target
13,NonTeleEvery,"Before the trial, every lawyer reviewed the case and he arranged the papers on the desk.",Did the events described happen before the trial?,1,target
13,NonTeleEach,"Before the trial, each lawyer reviewed the case and he arranged the papers on the desk.",Did the events described happen before the trial?,1,target
13,NonTeleThe,"Before the trial, the lawyer reviewed the case. He arranged the papers on the desk.",Did the events described happen before the trial?,1,target
14,TeleEach,"Before the parade, each drummer checked the drumsticks. He practiced quick beats on the snare.",None,None,target
14,NonTeleEvery,"Before the parade, every drummer checked the drumsticks and he practiced quick beats on the snare.",None,None,target
14,NonTeleEach,"Before the parade, each drummer checked the drumsticks and he practiced quick beats on the snare.",None,None,target
14,NonTeleThe,"Before the parade, the drummer checked the drumsticks. He practiced quick beats on the snare.",None,None,target
15,TeleEach,"After the exam, each student reviewed the answers. He discussed the questions with some classmates.",Did the events described happen before the exam?,0,target
15,NonTeleEvery,"After the exam, every student reviewed the answers and he discussed the questions with some classmates.",Did the events described happen before the exam?,0,target
15,NonTeleEach,"After the exam, each student reviewed the answers and he discussed the questions with some classmates.",Did the events described happen before the exam?,0,target
15,NonTeleThe,"After the exam, the student reviewed the answers. He discussed the questions with some classmates.",Did the events described happen before the exam?,0,target
16,TeleEach,"Ahead of showtime, each stylist checked the mirror. He fixed the makeup behind the curtain.",None,None,target
16,NonTeleEvery,"Ahead of showtime, every stylist checked the mirror and he fixed the makeup behind the curtain.",None,None,target
16,NonTeleEach,"Ahead of showtime, each stylist checked the mirror and he fixed the makeup behind the curtain.",None,None,target
16,NonTeleThe,"Ahead of showtime, the stylist checked the mirror. He fixed the makeup behind the curtain.",None,None,target
17,TeleEach,"Before the audition, each singer entered the studio. He collected a nametag at the reception.",Did the events described take place in a studio?,1,target
17,NonTeleEvery,"Before the audition, every singer entered the studio and he collected a nametag at the reception.",Did the events described take place in a studio?,1,target
17,NonTeleEach,"Before the audition, each singer entered the studio and he collected a nametag at the reception.",Did the events described take place in a studio?,1,target
17,NonTeleThe,"Before the audition, the singer entered the studio. He collected a nametag at the reception.",Did the events described take place in a studio?,1,target
18,TeleEach,"Before the dinner, each chef organized the ingredients. He marinated the meat in the fridge.",None,None,target
18,NonTeleEvery,"Before the dinner, every chef organized the ingredients. He marinated the meat in the fridge.",None,None,target
18,NonTeleEach,"Before the dinner, each chef organized the ingredients and he marinated the meat in the fridge.",None,None,target
18,NonTeleThe,"Before the dinner, the chef organized the ingredients. He marinated the meat in the fridge.",None,None,target
19,TeleEach,"In the morning, each artist mixed acrylic paint. He applied the paint to the canvas.","In the events described, was the paint applied to a wooden statue?",0,target
19,NonTeleEvery,"In the morning, every artist mixed acrylic paint and he applied the paint to the canvas.","In the events described, was the paint applied to a wooden statue?",0,target
19,NonTeleEach,"In the morning, each artist mixed acrylic paint and he applied the paint to the canvas.","In the events described, was the paint applied to a wooden statue?",0,target
19,NonTeleThe,"In the morning, the artist mixed acrylic paint. He applied the paint to the canvas.","In the events described, was the paint applied to a wooden statue?",0,target
20,TeleEach,"Around late afternoon, each gardener trimmed the hedges. He fertilized the soil with fresh compost.",None,None,target
20,NonTeleEvery,"Around late afternoon, every gardener trimmed the hedges and he fertilized the soil with fresh compost.",None,None,target
20,NonTeleEach,"Around late afternoon, each gardener trimmed the hedges and he fertilized the soil with fresh compost.",None,None,target
20,NonTeleThe,"Around late afternoon, the gardener trimmed the hedges. He fertilized the soil with fresh compost.",None,None,target
